INCIDENT_DATE,STATE,AIRPORT_ID,AIRPORT,OPID,OPERATOR,ATYPE,TYPE_ENG,SPECIES_ID,SPECIES,DAMAGE,COST_REPAIRS,AMA,AMO,EMA,EMO,AC_CLASS,AC_MASS,NUM_ENGS,ENG_1_POS,ENG_2_POS,ENG_3_POS,ENG_4_POS,REG,FLT,REMAINS_COLLECTED,REMAINS_SENT,INCIDENT_MONTH,INCIDENT_YEAR,TIME_OF_DAY,TIME,FAAREGION,ENROUTE,RUNWAY,LOCATION,HEIGHT,SPEED,DISTANCE,PHASE_OF_FLT,STR_RAD,DAM_RAD,STR_WINDSHLD,DAM_WINDSHLD,STR_NOSE,DAM_NOSE,STR_ENG1,DAM_ENG1,STR_ENG2,DAM_ENG2,STR_ENG3,DAM_ENG3,STR_ENG4,DAM_ENG4,INGESTED,STR_PROP,DAM_PROP,STR_WING_ROT,DAM_WING_ROT,STR_FUSE,DAM_FUSE,STR_LG,DAM_LG,STR_TAIL,DAM_TAIL,STR_LGHTS,DAM_LGHTS,STR_OTHER,DAM_OTHER,OTHER_SPECIFY,EFFECT,EFFECT_OTHER,SKY,PRECIP,BIRDS_SEEN,BIRDS_STRUCK,SIZE,WARNED,COMMENTS,REMARKS,AOS,COST_OTHER,COST_REPAIRS_INFL_ADJ,COST_OTHER_INFL_ADJ,REPORTED_NAME,REPORTED_TITLE,REPORTED_DATE,SOURCE,PERSON,NR_INJURIES,NR_FATALITIES,LUPDATE,TRANSFER,INDICATED_DAMAGE
11/9/13 0:00,MN,KMSP,MINNEAPOLIS-ST PAUL INTL,CPZ,COMPASS AIRLINES,EMB-170,D,J2303,Tundra swan,S,,332,,22,4,A,4,2,1,1,,,N635CZ,5743,TRUE,TRUE,11,2013,Night,1800,AGL,,30L,,3500,180,7,Approach,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,#1 ENG COWLING,Other,GO AROUND,Overcast,None,11 to 100,2 to 10,Large,Y,"SOURCE = TWO xxxx-x (xxxx-xx-x-xxxxxx, Rx), AIRSIDE DAILY LOG","ID BY SMITHSONIAN. FLT CREW ADVISED SEEING A FLOCK OF BIRDS (10-12) AT 4300 FT, 13-15 MILES FROM RWY 30L. 2 HIT THE A/C. ONE AT #1 ENG COWLING, THE OTHER ON L WING LE SLATS. COLLECTED WHITE FEATHER AND SNARGE SAMPLE OF WHAT APPEARS TO BE A TUNDRA SWAN. SAMPLE WILL BE SENT FOR ID. AIRLINE INFO INDICATED PILOTS SAW ABOUT A DOZEN LARGE, WHITE BIRDS AND HAD MULTIPLE AUDIBLE STRIKES. THEY NOTICED A SLIGHT CHANGE IN ENG INDICATIONS ON THE #1 ENG BUT THAT QUICKLY STABILIZED. WITHIN ABOUT 10 SECONDS THEY RECEIVED A SLAT FAIL CAUTION MESSAGE. PILOTS ASKED ATC TO MAINTAIN 4000' AND A VECTOR AWAY FROM THE APCH END TO RUN A CHECKLIST AND ADVISED THEM OF THE STRIKE. A/C LANDED W/O EVENT. DAMAGE WAS SIGNIFICANT TO BOTH IMPACT POINTS - #1 ENG NACELLE LEADING EDGE AND LH SLAT AT ABOUT THE WING'S MIDPOINT. (DATA ENTRY NOTE: ARPT DAILY LOG SHOWS STRIKE OCCURRED APPROX 7 MILE FINAL AT APPROX 3500' AGL. AIRCRAFT WENT AROUND BUT DID NOT DECLARE AN EMERGENCY.)",62,,,,Deleted,Deleted,,Multiple,Airport Operations,,,4/10/14 0:00,FALSE,TRUE
11/8/13 0:00,MN,KMSP,MINNEAPOLIS-ST PAUL INTL,UNK,UNKNOWN,UNKNOWN,,K3302,Red-tailed hawk,,,,,,,,,,,,,,,,TRUE,FALSE,11,2013,,,AGL,,12L/30R,,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,1,Medium,,xxxx-xx-x-xxxxxx,MX CREWS FOUND BIRD ON SERVICE ROAD NEAR RWY 12L/30R. 115 AM NIGHT.,,,,,Deleted,Deleted,,FAA Form 5200-7-E,Carcass Found,,,4/9/14 0:00,FALSE,FALSE
11/7/13 0:00,MN,KMSP,MINNEAPOLIS-ST PAUL INTL,SWA,SOUTHWEST AIRLINES,B-737-700,D,UNKBM,Unknown bird - medium,N,,148,42,10,1,A,4,2,1,1,,,N439WN,3668,FALSE,FALSE,11,2013,Night,2115,AGL,,12R,,4000,180,10,Approach,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,None,,No Cloud,None,1,1,Medium,N,xxxx-xx-x-xxxxxx,LOCATION REPTD AS 10 MILES NW.,,,,,Deleted,Deleted,,FAA Form 5200-7-E,Pilot,,,4/9/14 0:00,FALSE,FALSE
11/6/13 0:00,MN,KMSP,MINNEAPOLIS-ST PAUL INTL,FLG,ENDEAVOR AIR,CRJ900,D,J2109,Mallard,S,,188,17,22,4,A,4,2,5,5,,,,,TRUE,TRUE,11,2013,Night,1828,AGL,,30R,,3000,,,Approach,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"ADG DOOR, #2 ENG COWL",None,,No Cloud,None,2 to 10,2 to 10,Medium,Y,,"ID BY SMITHSONIAN, FAA 11830. WHILE ON FINAL APCH, A/C HAD MULTIPLE BIRDSTRIKES. CAPT'S WINDSHLD, ADG DOOR, RT ENG LOWER COWL. BLOOD SPLATTER ON RT WING LE AND RT FUSELAGE BTWN GALLEY SERVICE DOOR AND RT WING ROOT. ENG PARAMETERS APPEARED NORMAL. NOTIFIED ATC AND MADE NORMAL LDG. MX PERFORMED VISUAL CHECK FOR DMG. CLEANED DEBRIS FROM A/C NOTED DAMAGE TO ADG DOOR. FOUND DEBRIS ON FAN BLADES. A/C DID NOT PERFORM A REVENUE FLIGHT FOR 12 DAYS AFTER THIS STRIKE. (DATA ENTRY NOTE: ADDITIONAL DAMAGE AND TIME OUT OF SERVICE PROVIVED BY AIRLINE)",288,,,,Deleted,Deleted,11/6/13 0:00,FAA Form 5200-7,Airport Operations,,,4/10/14 0:00,FALSE,TRUE
11/1/13 0:00,MN,KMSP,MINNEAPOLIS-ST PAUL INTL,CPZ,COMPASS AIRLINES,EMB-170,D,M7005,American coot,M?,,332,,22,4,A,4,2,1,1,,,N607CZ,5792,TRUE,TRUE,11,2013,Night,1958,AGL,,30L,,3200,210,,Climb,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Precautionary Landing,,Some Cloud,,1,1,Medium,N,"SOURCE = THREE xxxx-x (xxxx-xx-x-xxxxxx, Rx, Rx), AIRLINE REPORT","ID BY SMITHSONIAN. DURING INITIAL CLIMBOUT, WHILE CLIMBING THROUGH 4000' MSL, A BIRD HIT THE NOSE WITH A LOUD BANG. WE WERE UNAWARE OF THE EXTENT OF THE DAMAGE AND DID NOT DECLARE AN EMERGENCY. WE DECIDED TO RETURN TO MSP AND LANDED UNEVENTFULLY. THERE WAS A SIZABLE DENT BETWEEN THE RADOME AND WINDSCREENS. FEATHERS WERE STUCK TO THE WIPERS. MX CONFIMRED THE A/C WAS NO LONGER AIRWORTHY.",13,,,,Deleted,Deleted,,Multiple,Tower,,,4/10/14 0:00,FALSE,TRUE
10/24/13 0:00,MN,KMSP,MINNEAPOLIS-ST PAUL INTL,SKW,SKYWEST AIRLINES,CRJ100/200,D,J2134,Gadwall,N,,188,10,22,4,A,3,2,5,5,,,N783CA,4766,TRUE,TRUE,10,2013,Day,713,AGL,,30R,,,,0.5,Approach,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,None,,Overcast,None,1,1,Medium,Y,"SOURCE = TWO xxxx-x (xxxx-xx-xx-xxxxxx, Rx)","ID BY SMITHSONIAN. A/C WAS OVER THE RIVER ON 1/2 MILE FINAL. SNARGE FOUND ON OUTBD FLAP, LEFT WING. BOTTOM SIDE. NO DMG.",,,,,Deleted,Deleted,,FAA Form 5200-7-E,Airport Operations,,,2/27/14 0:00,FALSE,FALSE
10/22/13 0:00,MN,KMSP,MINNEAPOLIS-ST PAUL INTL,UNK,UNKNOWN,UNKNOWN,,N6011,American woodcock,,,,,,,,,,,,,,,,TRUE,FALSE,10,2013,,,AGL,,12R/30L,,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,1,Small,,xxxx-xx-xx-xxxxxx,726 AM DAWN.,,,,,Deleted,Deleted,,FAA Form 5200-7-E,Carcass Found,,,2/26/14 0:00,FALSE,FALSE
10/19/13 0:00,MN,KMSP,MINNEAPOLIS-ST PAUL INTL,UNK,UNKNOWN,UNKNOWN,,YH004,Horned lark,,,,,,,,,,,,,,,,TRUE,FALSE,10,2013,,,AGL,,35,,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,1,Small,,xxxx-xx-xx-xxxxxx,FOUND ON ROUTINE RWY INSPN. 833 AM DAY.,,,,,Deleted,Deleted,,FAA Form 5200-7-E,Carcass Found,,,2/26/14 0:00,FALSE,FALSE
10/17/13 0:00,MN,KMSP,MINNEAPOLIS-ST PAUL INTL,GLA,GREAT LAKES AIRLINES,BE-1900,C,YH004,Horned lark,N,,123,27,31,4,A,3,2,4,4,,,,7244,TRUE,FALSE,10,2013,Day,1055,AGL,,35,,,,0,Approach,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,PART NOT REPTD,None,,Overcast,None,2 to 10,2 to 10,Small,Y,xxxx-xx-xx-xxxxxx,A/C WAS ABOUT TO T/D ON RWY 35 KMSP. DID NOT INSPECT THE A/C FOR REMAINS BECAUSE THE BIRDS WERE INTACT. NO A/C DMG.,,,,,Deleted,Deleted,,FAA Form 5200-7-E,Airport Operations,,,2/26/14 0:00,FALSE,FALSE
10/14/13 0:00,MN,KMSP,MINNEAPOLIS-ST PAUL INTL,CPZ,COMPASS AIRLINES,EMB-170,D,K5002,Peregrine falcon,S,114000,332,,22,4,A,4,2,1,1,,,N608CZ,5716,TRUE,TRUE,10,2013,Dawn,711,AGL,,12L,,0,100,0,Take-off run,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Aborted Take-off,,Some Cloud,None,1,1,Medium,Y,"SOURCE = FIVE xxxx-x (xxxx-xx-xx-xxxxxx, Rx-Rx, xxxxxx)",ID BY SMITHSONIAN. 12 FAN BLADES WERE CHANGED IN THE #2 ENG. PHOTOS.,10,,114000,,Deleted,Deleted,,FAA Form 5200-7-E,Airline Operations,,,2/27/14 0:00,FALSE,TRUE
10/13/13 0:00,MN,KMSP,MINNEAPOLIS-ST PAUL INTL,FLG,ENDEAVOR AIR,CRJ100/200,D,UNKBL,Unknown bird - large,N,,188,10,22,4,A,3,2,5,5,,,N8560F,3740,FALSE,FALSE,10,2013,Day,1655,AGL,,35,,0,100,0,Landing Roll,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,None,,No Cloud,,1,1,Large,Y,xxxx-xx-xx-xxxxxx,FLT CREW SAW ON LRG BIRD FLY RIGHT OVER THE COCKPIT AND THEN HEARD A SOUND HITTING THE TAIL OF THE A/C. GRND CREW INSPECTED A/C AND FOUND NO BIRD OR DMG TO A/C.,,,,,Deleted,Deleted,,FAA Form 5200-7-E,Airport Operations,,,2/26/14 0:00,FALSE,FALSE
