DayNum,Miles,Gallons
35296,288,12.1
35297,598,14.2
35298,932,15
35307,1213,15.3
35325,1439,14.6
35340,1701,15.5
35350,2001,16
35363,2270,16.2
35371,2563,15.9
35383,2813,16.2
35396,3052,16.2
35410,3284,15.7
35421,3499,15.4
35431,3680,12.1
35445,3855,13.8
35455,4076,15.3
35465,4271,14.1
35476,4448,12.2
35488,4658,15.3
35496,4851,15.7
35504,5048,13.8
35518,5225,11.8
35527,5507,14.7
35537,5701,12.2
35548,5929,13.2
35560,6158,13.9
35573,6367,13
35597,6618,14.2
35610,6831,12.7
35626,7103,14.5
35641,7323,13
35663,7584,15.4
35684,7847,14.3
35700,8100,13.5
35716,8351,13.1
35742,8588,14.9
35754,8828,14
35756,9084,11
35756,9226,7
35767,9466,14.3
35783,9651,13.3
35819,9864,14.5
35833,10037,12
35849,10223,12.2
35866,10423,9.5
35880,10548,13.7
35898,10788,14.6
35909,11035,14.3
35924,11264,14
35937,11487,13.9
35945,11728,12.6
35958,12005,12.6
35965,12287,14.3
35974,12490,11.6
35979,12729,11
36062,14222,14.3
36082,14465,13.5
36102,14670,13.7
36115,14895,13.9
36133,15094,12.6
36152,15276,13.25
36171,15468,13.1
36195,15864,11
36219,16036,12.4
36245,16215,12.5
36263,16402,11.8
36282,16624,14.6
36295,16825,11.3
36311,17057,14.6
36326,17230,10.3
36363,17455,13.2
36379,17652,12.8
36397,18150,10.2
36400,18450,12.7
36413,18759,14.5
36429,19007,14.8
36446,19232,12.2
36459,19431,12.5
36477,19593,11.5
36494,19769,13.2
36513,19970,14.4
36525,20055,5.46
36533,20250,9.8
36551,20530,10.9
36559,20710,13
36571,20876,11.1
36581,21071,13.7
36597,21289,14.4
36618,21485,14.1
36630,21700,13.5
36641,21919,12.9
36655,22118,12.8
36669,22318,13.1
36687,22509,12.5
36690,22788,13.2
36691,23075,13
36691,23353,12.7
36692,23590,10.6
36696,23916,14.9
36717,24188,13
36719,24478,12.6
36719,24816,12.4
36720,25000,11.5
36720,25378,13.5
36724,25660,14.4
36745,25907,14.5
36759,26151,12.5
36759,26439,12.8
36779,26691,13.6
36799,26910,13.81
36824,27127,13.58
36845,27307,12.5
36859,27507,13.7
36880,27606,7.9
37104,27944,14.1
37117,28105,11.1
37135,28335,14.1
37148,28488,10.2
37169,28709,13.1
37183,28936,12.8
37192,29209,14.9
37209,29422,13.5
37225,29600,11.8
37237,29803,13.1
37254,29997,13
