credential,n,cleaned_credential,source
MD,27304,MD,
M.D.,24051,MD,
NA,8711,NurseAid,
CRNA,2892,NurseAnesth.,
D.O.,2402,DOsteo,
D.C.,2342,DChiro,
DO,2088,DO,
PA-C,1868,CertPhysAssist,
O.D.,1682,DOsteo,
PT,1492,PhysTherap,
DC,1298,DChiro,
PA,1199,CertPhysAssist,
NP,1068,NursePractitioner,
DPM,1063,DPM,podiatrist
OD,883,DOsteo,
M.D,645,MD,
FNP,632,NursePractitioner,Family Nurse Practitioner
LCSW,616,SocialWorker,
ARNP,594,NursePractitioner,Advanced Registered Nurse Practitioner
P.T.,586,PhysTherap,
DPT,553,PhysTherap,
D.P.M.,472,DPM,
PH.D.,447,PhD,
P.A.,402,CertPhysAssist,
PHD,380,PhD,
PAC,305,CertPhysAssist,
CRNP,294,NursePractitioner,
APRN,280,NursePractitioner,
N.P.,253,NursePractitioner,
MPT,224,,
CNP,174,NursePractitioner,
APN,158,,
M. D.,138,MD,
PSY.D.,134,,
"M.D., PH.D.",130,MD,
"MD, PHD",129,MD,
NP-C,124,,
LICSW,123,,
AU.D.,116,,
FNP-BC,114,,
ANP,111,,
FNP-C,110,,
P.A.-C,110,CertPhysAssist,
MSPT,106,,
MD PHD,104,MD,
D.O,96,DOsteo,
PSYD,94,,
"PT, DPT",87,,
AUD,83,,
C.R.N.A.,81,,
OT,79,,
MSW,76,,
RPA-C,76,,
D.P.T.,75,PhysTherap,
PA C,75,CertPhysAssist,
CFNP,67,,
D.C,65,,
OTR,64,,
RPT,61,,
"MD, MPH",60,MD,
LMSW,57,,
APNP,56,,
L.C.S.W.,56,,
DDS,51,,
NURSE PRACTITIONER,51,NursePractitioner,
F.N.P.,50,,
RN,50,NursePractitioner,
"M.D.,",49,MN,
P.A.-C.,49,CertPhysAssist,
RD,48,,
ACNP,47,,
OTR/L,47,,
PHYSICIAN ASSISTANT,47,,
PHYSICAL THERAPIST,46,,
"M.D,",44,MD,
"M.D., M.P.H.",43,MD,
ANP-BC,41,,
CNS,41,,
D.P.M,41,DPM,
PH.D,41,,
MBBS,40,,
LISW,39,,
O.D,38,DOsteo,
A.R.N.P.,35,NursePractitioner,
AA,34,,
CNM,33,,
DMD,33,,
"APRN, BC",29,,
LCSW-C,29,,
M.P.T.,29,,
D.D.S.,26,DDS,
M.A.,25,MA,
M D,24,MD,
"M.D., PHD",24,MD,
M.S.,24,MS,
"MSW, LCSW",24,SocialWorker,
LSCSW,23,,
PMHNP,23,,
R.D.,23,,
ANP-C,22,,
LPT,22,,
O.T.,22,,
ACNP-BC,21,,
APRN-BC,21,,
D.M.D.,21,,
"M.A., CCC-A",21,MD,
O. D.,21,Dosteo,
PSY.D,21,,
MD MPH,20,MD,
MD.,20,MD,
"RN, CNP",20,,
APN-C,19,,
C.R.N.P.,19,,
ED.D.,19,,
M.S.P.T.,19,,
MS,19,MS,
P.A.C.,19,,
"M.S., CCC-A",17,MS,
MA,17,MA,
MD FACC,17,MD,
MD PA,17,MD,
ARNP-C,16,,
D.P.T,16,,
M.S.W.,16,SocialWorker,
P.A-C,16,NursePractitioner,
"RN, FNP",16,NursePractitioner,
RNP,16,NursePractitioner,
C.N.P.,15,,
"M.D., F.A.C.S.",15,MD,
"M.D., P.A.",15,MD,
"OTR/L, CHT",15,,
PAAA,15,,
D. C.,14,,
"M.D., F.A.C.C.",14,MD,
"M.D., M.S.",14,MD,
"MD, MS",14,MD,
"MS, PT",14,,
NPP,14,,
AA-C,13,,
AU.D,13,,
D. O.,13,,
FNPC,13,,
GNP,13,,
LCSW-R,13,,
MEDICAL DOCTOR,13,MD,
"MPAS, PA-C",13,,
P.T,13,,
R.P.T.,13,,
MS PT,12,MS,
"MS, PA-C",12,,
MSW LCSW,12,SocialWorker,
"MSW, LICSW",12,SocialWorker,
"P.T., D.P.T.",12,,
"RN, CRNA",12,,
