"hcpcs_code","hcpcs_description"
"99222","Initial hospital care"
"99223","Initial hospital care"
"99231","Subsequent hospital care"
"99232","Subsequent hospital care"
"99233","Subsequent hospital care"
"99238","Hospital discharge day"
"99239","Hospital discharge day"
"88304","Tissue exam by pathologist"
"88305","Tissue exam by pathologist"
"88311","Decalcify tissue"
"88312","Special stains group 1"
"88313","Special stains group 2"
"88321","Microslide consultation"
"88342","Immunohistochemistry"
"88346","Immunofluorescent study"
"99204","Office/outpatient visit new"
"99213","Office/outpatient visit est"
"97001","Pt evaluation"
"97032","Electrical stimulation"
"97035","Ultrasound therapy"
"97110","Therapeutic exercises"
"97140","Manual therapy"
"36556","Insert non-tunnel cv cath"
"99217","Observation care discharge"
"99218","Initial observation care"
"99219","Initial observation care"
"99220","Initial observation care"
"99221","Initial hospital care"
"99224","Subsequent observation care"
"99307","Nursing fac care subseq"
"99316","Nursing fac discharge day"
"81002","Urinalysis nonauto w/o scope"
"99203","Office/outpatient visit new"
"G0101","CA screen;pelvic/breast exam"
"Q0091","Obtaining screen pap smear"
"90804","Psytx office 20-30 min"
"90806","Psytx off 45-50 min"
"99202","Office/outpatient visit new"
"99205","Office/outpatient visit new"
"99212","Office/outpatient visit est"
"20551","Inj tendon origin/insertion"
"69210","Remove impacted ear wax"
"93010","Electrocardiogram report"
"99211","Office/outpatient visit est"
"99214","Office/outpatient visit est"
"99215","Office/outpatient visit est"
"G0179","MD recertification HHA PT"
"G0180","MD certification HHA patient"
"G0439","PPPS, subseq visit"
"90662","Flu vacc prsv free inc antig"
"93000","Electrocardiogram complete"
"G0008","Admin influenza virus vac"
"Q2038","Fluzone vacc, 3 yrs & >, im"
"97003","Ot evaluation"
"97530","Therapeutic activities"
"98940","Chiropractic manipulation"
"98941","Chiropractic manipulation"
"00142","Anesth lens surgery"
"76942","Echo guide for biopsy"
"76937","Us guide vascular access"
"36415","Routine venipuncture"
"29822","Shoulder arthroscopy/surgery"
"29826","Shoulder arthroscopy/surgery"
"29827","Arthroscop rotator cuff repr"
"93227","Ecg monit/reprt up to 48 hrs"
"93306","Tte w/doppler complete"
"93351","Stress tte complete"
"93454","Coronary artery angio s&i"
"17000","Destruct premalg lesion"
"17003","Destruct premalg les 2-14"
"17004","Destroy premal lesions 15/>"
"96910","Photochemotherapy with UV-B"
"J0702","Betamethasone acet&sod phosp"
"J3301","Triamcinolone acet inj NOS"
"20552","Inj trigger point 1/2 muscl"
"20553","Inject trigger points =/> 3"
"20610","Drain/inject joint/bursa"
"22524","Percut kyphoplasty lumbar"
"22525","Percut kyphoplasty add-on"
"62310","Inject spine c/t"
"62318","Inject spine w/cath c/t"
"63650","Implant neuroelectrodes"
"63685","Insrt/redo spine n generator"
"63688","Revise/remove neuroreceiver"
