Cell Line Name,tissue of origin,age,sex,prior treatment,Epithelial,histology,source,ploidy,p53,mdr,doublingtime
BR:MCF7,Breast,69,F,NA,yes,Adenocarcinoma- mammary gland; breast; metastatic site: pleural effusion;,Pleural effusion,"3n-, Hypotriploid (58-68)",WT,14,25.4
BR:MDA_MB_231,Breast,51,F,NA,yes,Adenocarcinoma-mammary gland; breast; epithelial; metastatic site: pleural effusion;,Pleural effusion,"2n+, Hyperdiploid (47-57)",MT,29,41.9
BR:HS578T,Breast,74,F,NA,yes,Carcinosarcoma-mammary gland; breast,Primary,"2n+, Hyperdiploid (47-57)",MT,NA,53.8
BR:BT_549,Breast,72,F,NA,yes,Papillary infiltrating ductal carcinoma-mammary gland; breast,Metastasis,"3n+/-, Near-triploid 69+/- (58-80)",?,-45,53.9
BR:T47D,Breast,54,F,NA,yes,infiltrating ductal carcinoma,NA,"2n+, Hyperdiploid (47-57)",MT,19,45.5
CNS:SF_268,CNS,24,F,Rad,no,"Glioblastoma, ud",NA,"2n+, Hyperdiploid (47-57)",MT,-38,33.1
CNS:SF_295,CNS,67,F,Rad,no,"Glioblastoma, ud",NA,"5n+/-, Near-pentaploid 115+/- (104-126)",MT,91,29.5
CNS:SF_539,CNS,34,F,Rad/BCNU/5FU/HU/6MP,no,Glial cell neoplasm,NA,"4n+/-, Near-tetraploid 92+/- (81-103)",WT,-40,35.4
CNS:SNB_19,CNS,47,M,None,no,"Glioblastoma, ud",NA,"3n+/-, Near-triploid 69+/- (58-80)",MT,-41,34.6
CNS:SNB_75,CNS,NA,F,None,no,Astrocytoma,NA,"2n+, Hyperdiploid (47-57)",MT,-38,62.8
CNS:U251,CNS,75,M,NA,no,"Glioblastoma,ud",NA,"2n+, Hyperdiploid (47-57)",MT,-19,23.8
CO:COLO205,Colon,70,M,NA,yes,Adenocarcinoma,Ascites,"3n, Triploid (69)",MT,7,23.8
CO:HCC_2998,Colon,NA,NA,NA,yes,carcinoma,NA,"2n+/-, Near-diploid 46+/- (35-57)",MT,-5,31.5
CO:HCT_116,Colon,NA,M,NA,yes,carcinoma-vpd,NA,"2n-, Hypodiploid (35-45)",?,26,17.4
CO:HCT_15,Colon,NA,NA,None,yes,Adenocarcinoma p/md,NA,"2n+/-, Near-diploid 46+/- (35-57)",?,414,20.6
CO:HT29,Colon,44,F,None,yes,Adenocarcinoma-md,Primary,"3n+/-, Near-triploid 69+/- (58-80)",MT,15,19.5
CO:KM12,Colon,NA,NA,None,yes,Adenocarcinome-pd,NA,"2n+/-, Near-diploid 46+/- (35-57)",MT,-19,23.7
CO:SW_620,Colon,51,M,NA,yes,Carcinoma-ud,NA,"2n+/-, Near-diploid 46+/- (35-57)",MT,31,20.4
LE:CCRF_CEM,Leukemia,4,F,Rad/Mtx/Cyx,no,ALL,NA,"2n+/-, Near-diploid 46+/- (35-57)",MT,35,26.7
LE:HL_60,Leukemia,36,M,None,no,Pro myelocytic leukemia,PBL,"2n+/-, Near-diploid 46+/- (35-57)",MT,-11,28.6
LE:K_562,Leukemia,53,F,Bisulfan/PiBr,no,CML,Pleural effusion,"3n-, Hypotriploid (58-68)",MT,-1,19.6
