type,count,newType,generalType
HAIL,288661,hail,hail
TSTM WIND,219940,thunderstorm-wind,wind
THUNDERSTORM WIND,82563,thunderstorm-wind,wind
TORNADO,60652,tornado,wind
FLASH FLOOD,54277,flash flood,flood
FLOOD,25326,flood,flood
THUNDERSTORM WINDS,20843,thunderstorm-wind,
HIGH WIND,20212,high wind,wind
LIGHTNING,15754,lightning,lightning
HEAVY SNOW,15708,blizzard,snow
HEAVY RAIN,11723,heavy rain,rain
WINTER STORM,11433,winter storm,snow
WINTER WEATHER,7026,winter storm,wind
FUNNEL CLOUD,6839,funnel cloud,wind
MARINE TSTM WIND,6175,thunderstorm-wind,
MARINE THUNDERSTORM WIND,5812,thunderstorm-wind,
WATERSPOUT,3796,waterspout,wind
STRONG WIND,3566,high wind,wind
URBAN/SML STREAM FLD,3392,urban flood,flood
WILDFIRE,2761,wildfire,fire
BLIZZARD,2719,blizzard,
DROUGHT,2488,drought,
ICE STORM,2006,ice storm,
EXCESSIVE HEAT,1678,excesssive heat,
HIGH WINDS,1533,high wind,
WILD/FOREST FIRE,1457,wildfire,
FROST/FREEZE,1342,freeze,
DENSE FOG,1293,fog,
WINTER WEATHER/MIX,1104,winter storm,
TSTM WIND/HAIL,1028,hail,
EXTREME COLD/WIND CHILL,1002,cold,
HEAT,767,heat,
HIGH SURF,725,surf,
TROPICAL STORM,690,tropical storm,
FLASH FLOODING,682,flash flood,
EXTREME COLD,655,extreme cold,
COASTAL FLOOD,650,coastal flood,
LAKE-EFFECT SNOW,636,lake-effect snow,
FLOOD/FLASH FLOOD,624,flash flood,
LANDSLIDE,600,landslide,
SNOW,587,snow,
COLD/WIND CHILL,539,cold,
FOG,538,fog,
RIP CURRENT,470,current,
MARINE HAIL,442,hail,
DUST STORM,427,dust storm,
AVALANCHE,386,avalanche,
WIND,340,wind,
RIP CURRENTS,304,current,
STORM SURGE,261,coastal flood,
FREEZING RAIN,250,freezing rain,
URBAN FLOOD,249,urban flood,
HEAVY SURF/HIGH SURF,228,surf,
EXTREME WINDCHILL,204,cold,
STRONG WINDS,196,high wind,
DRY MICROBURST,186,,
HURRICANE,174,hurricane,
ASTRONOMICAL LOW TIDE,174,low tide,
RIVER FLOOD,173,flood,
LIGHT SNOW,154,light snow,
STORM SURGE/TIDE,148,storm surge,
RECORD WARMTH,146,heat,
COASTAL FLOODING,143,coastal flood,
DUST DEVIL,141,dust storm,
MARINE HIGH WIND,135,wind,
UNSEASONABLY WARM,126,heat,
FLOODING,120,flood,
ASTRONOMICAL HIGH TIDE,103,high tide,
MODERATE SNOWFALL,101,snow,
URBAN FLOODING,98,urban flood,
WINTRY MIX,90,winter storm,
HURRICANE/TYPHOON,88,hurricane,
FUNNEL CLOUDS,87,tornado,
HEAVY SURF,84,surf,
RECORD HEAT,81,heat,
HEAT WAVE,74,heat,
FREEZE,74,cold,
COLD,72,cold,
RECORD COLD,64,cold,
THUNDERSTORM WINDS HAIL,61,hail,
ICE,61,ice storm,
TROPICAL DEPRESSION,60,,
SLEET,59,ice,
UNSEASONABLY DRY,56,dry,
GUSTY WINDS,53,wind,
FROST,53,cold,
THUNDERSTORM WINDSS,51,thunderstorm-wind,
OTHER,48,,
MARINE STRONG WIND,48,wind,
SMALL HAIL,47,hail,
FUNNEL,46,tornado,
THUNDERSTORM,45,thunderstorm-wind,
FREEZING FOG,45,fog,
Temperature record,43,,
TSTM WIND (G45),39,thunderstorm-wind,
Coastal Flooding,38,coastal flood,
WATERSPOUTS,37,tornado,
WINDS,36,wind,
MONTHLY PRECIPITATION,36,,
MIXED PRECIPITATION,34,,
SNOW AND ICE,33,,
HEAVY SNOW SQUALLS,32,,
GLAZE,32,,
FLASH FLOODS,32,flash flood,
URBAN/SMALL STREAM FLOOD,30,urban flood,
Snow,30,snow,
HAIL 75,29,hail,
ICY ROADS,28,ice,
WIND DAMAGE,27,wind,
HEAVY RAINS,26,rain,
HEAVY LAKE SNOW,25,lake-effect snow,
EXCESSIVE SNOW,25,snow,
THUNDERSTORM WINDS/HAIL,24,thunderstorm-wind,
RIVER FLOODING,24,flood,
UNSEASONABLY COLD,23,cold,
SEVERE THUNDERSTORMS,23,thunderstorm-wind,
LIGHT FREEZING RAIN,23,ice,
LAKESHORE FLOOD,23,flood,
GUSTY WIND,23,wind,
VOLCANIC ASH,22,,
FLASH FLOOD/FLOOD,22,flood,
EXTREME HEAT,22,heat,
SEICHE,21,,
Light Snow,21,snow,
LAKE EFFECT SNOW,21,lake-effect snow,
TSUNAMI,20,tsunami,
TIDAL FLOODING,20,tid,
FREEZING DRIZZLE,20,,
Winter Weather,19,winter storm,
UNSEASONABLY WET,19,wet,
TORNADO F0,19,tornado ,
SNOW SQUALL,19,snow,
EXTREME WINDCHILL TEMPERATURES,19,cold,
WIND CHILL,18,cold,
HAIL 0.75,18,hail,
SNOW/ICE STORM,17,snow,
SNOW SQUALLS,17,snow,
PROLONG COLD,17,cold,
RAIN,16,rain,
Heavy Rain,16,rain,
HEAVY SNOW-SQUALLS,15,snow,
THUNDERSTORMS WINDS,14,thunderstorm-wind,
RECORD RAINFALL,14,rain,
BLACK ICE,14,ice,
UNSEASONABLY WARM AND DRY,13,hot,
SEVERE THUNDERSTORM,13,thunderstorm-wind,
HAIL 175,13,hail,
HAIL 100,13,hail,
DROUGHT/EXCESSIVE HEAT,13,hot,
WIND ADVISORY,12,wind,
UNSEASONABLY COOL,12,cold,
SLEET STORM,12,ice,
BLOWING SNOW,12,snow,
TYPHOON,11,hurricane,
SNOW FREEZING RAIN,11,snow,
SMOKE,11,smoke,
Record temperature,11,,
MONTHLY RAINFALL,11,,
Glaze,11,,
WATERSPOUT-,10,tornado,
UNUSUAL WARMTH,10,hot,
UNSEASONABLY HOT,10,hot,
TSTM WIND (G40),10,thunderstorm-wind,
SNOW/SLEET,10,snow,
MIXED PRECIP,10,,
Gusty Winds,10,,
DENSE SMOKE,10,smoke,
Cold,10,cold,
MUDSLIDE,9,landslide,
HURRICANE OPAL,9,hurricane,
High Surf,9,surf,
HEAVY RAINS/FLOODING,9,flood,
FREEZING RAIN/SLEET,9,ice,
FIRST SNOW,9,snow,
DRY,9,dry,
WILDFIRES,8,wildfire,
WATERSPOUT/TORNADO,8,tornado,
URBAN/SMALL STREAM,8,urban flood,
UNUSUALLY COLD,8,cold,
Record Warmth,8,hot,
RECORD SNOW,8,snow,
Mudslide,8,landslide,
LANDSLIDES,8,landslide,
HIGH SEAS,8,surf,
HEAVY MIX,8,,
GRADIENT WINDS,8,,
FLASH FLOODING/FLOOD,8,flood,
Dust Devil,8,tornado,
COASTAL STORM,8,,
THUNDERSTORM WINDS LIGHTNING,7,thunderstorm-wind,
THUNDERSTORM  WINDS,7,thunderstorm-wind,
Strong Winds,7,wind,
SNOW/ICE,7,ice,
SNOW/BLOWING SNOW,7,snow,
SNOW DROUGHT,7,drought,
SMALL STREAM FLOOD,7,urban flood,
NON SEVERE HAIL,7,,
MUD SLIDE,7,landslide,
LOW TEMPERATURE,7,cold,
HURRICANE ERIN,7,hurricane,
HARD FREEZE,7,freeze,
Freezing Rain,7,ice,
WINTER WEATHER MIX,6,winter storm,
Wind,6,wind,
WET MICROBURST,6,,
URBAN AND SMALL STREAM FLOODIN,6,urban flood,
TSTM WINDS,6,thunderstorm-wind,
THUNDERSTORMS WIND,6,thunderstorm-wind,
SNOW/SLEET/FREEZING RAIN,6,ice,
SNOW/FREEZING RAIN,6,ice,
SNOW SHOWERS,6,,
RECORD SNOWFALL,6,snow,
HIGH WIND/BLIZZARD,6,snow,
HIGH WATER,6,,
HAIL 1.00,6,hail,
GUSTNADO,6,,
FREEZING RAIN AND SLEET,6,ice,
FLOOD/RAIN/WINDS,6,flood,
EXTREME WIND CHILL,6,cold,
DRY CONDITIONS,6,dry,
DAMAGING FREEZE,6,freeze,
COLD WIND CHILL TEMPERATURES,6,cold,
Cold and Frost,6,freeze,
Coastal Flood,6,flood,
AGRICULTURAL FREEZE,6,freeze,
WALL CLOUD,5,,
TSTM WIND 52,5,thunderstorm-wind,
Tidal Flooding,5,flood,
SNOWMELT FLOODING,5,flood,
SMALL STREAM/URBAN FLOOD,5,urban flood,
small hail,5,hail,
SEVERE THUNDERSTORM WINDS,5,thunderstorm-wind,
ROTATING WALL CLOUD,5,,
River Flooding,5,flood,
RECORD TEMPERATURE,5,,
RECORD HIGH,5,hot,
RECORD COOL,5,cold,
RAIN/SNOW,5,snow,
Prolong Cold,5,cold,
Mudslides,5,landslide,
MICROBURST WINDS,5,,
MICROBURST,5,,
ICE JAM FLOODING,5,flood,
HIGH WINDS/COLD,5,wind,
HIGH SWELLS,5,surf,
HEAVY SNOW/ICE,5,ice,
GUSTY THUNDERSTORM WINDS,5,thunderstorm-wind,
Funnel Cloud,5,,
FLASH FLOOD FROM ICE JAMS,5,flood,
EXCESSIVE RAIN,5,rain,
EARLY SNOWFALL,5,snow,
DRY MICROBURST WINDS,5,,
COASTAL FLOODING/EROSION,5,flood,
Wind Damage,4,wind,
WILD FIRES,4,wildfire,
Wet Year,4,,
Wet Month,4,,
URBAN/SMALL STREAM FLOODING,4,urban flood,
UNUSUALLY WARM,4,hot,
TORNADO F1,4,tornado,
THUNDERSTORMS,4,thunderstorm-wind,
THUNDERSTORM WIND/ TREES,4,thunderstorm-wind,
THUNDERSTORM WIND G50,4,thunderstorm-wind,
THUNDERSTORM WIND 60 MPH,4,thunderstorm-wind,
Snow Squalls,4,snow,
SNOW AND SLEET,4,snow,
SMALL STREAM FLOODING,4,urban flood,
ROUGH SURF,4,surf,
RECORD LOW,4,cold,
PROLONGED RAIN,4,rain,
PROLONG WARMTH,4,hot,
Other,4,,
MUDSLIDES,4,landslide,
MONTHLY TEMPERATURE,4,,
Microburst,4,,
Icy Roads,4,ice,
ICE JAM,4,flood,
HIGH SURF ADVISORY,4,,
HEAVY RAIN/WIND,4,wind,
Heavy Rain and Wind,4,wind,
HAIL 1.75,4,hail,
Gradient wind,4,,
Frost,4,frost,
FREEZING RAIN/SNOW,4,ice,
EXTREME/RECORD COLD,4,cold,
EXCESSIVE RAINFALL,4,rain,
DRY WEATHER,4,dry,
DRY SPELL,4,dry,
DAM BREAK,4,flood,
COLD WEATHER,4,cold,
COLD TEMPERATURES,4,cold,
COLD AIR FUNNEL,4,,
BLOWING DUST,4,,
ACCUMULATED SNOWFALL,4,,
ABNORMAL WARMTH,4,,
 TSTM WIND,4,,
Wintry mix,3,,
WINTER STORMS,3,,
WINTER MIX,3,,
WIND GUSTS,3,,
VOLCANIC ASHFALL,3,,
URBAN/STREET FLOODING,3,urban flood,
URBAN FLOODS,3,urban flood,
URBAN AND SMALL STREAM FLOOD,3,urban flood,
URBAN AND SMALL STREAM,3,urban flood,
TSTM WIND 55,3,thunderstorm-wind,
TSTM HEAVY RAIN,3,rain,
TROPICAL STORM JERRY,3,,
TORNADO F2,3,tornado,
THUNDERTORM WINDS,3,thunderstorm-wind,
THUNDERSTORMW WINDS,3,thunderstorm-wind,
THUNDERSTORM WINDS.,3,thunderstorm-wind,
Strong Wind,3,wind,
STREET FLOODING,3,urban flood,
STREET FLOOD,3,urban flood,
ROUGH SEAS,3,surf,
RECORD/EXCESSIVE HEAT,3,hot,
Record Winter Snow,3,snow,
RECORD TEMPERATURES,3,,
RECORD HIGH TEMPERATURE,3,hot,
Record Cold,3,cold,
PATCHY DENSE FOG,3,fog,
NORMAL PRECIPITATION,3,,
Mixed Precipitation,3,,
MINOR FLOODING,3,flood,
MAJOR FLOOD,3,flood,
LIGHTING,3,,
Light Snow/Flurries,3,,
ICE/SNOW,3,ice,
HYPOTHERMIA/EXPOSURE,3,,
Hypothermia/Exposure,3,,
HURRICANE-GENERATED SWELLS,3,NA,
HIGH WINDS/SNOW,3,NA,
