"country","unemployment","inflation","infant","migr"
"Qatar",0.3,3.1,6.42,27.35
"Zimbabwe",95,8.5,26.55,21.78
"British Virgin Islands",8.7,1.6,13.45,17.69
"Jordan",14,5.9,15.73,17.22
"Libya",30,3.2,11.87,16.01
"Cayman Islands",4,1.8,6.21,14.71
"Singapore",1.9,2.4,2.53,14.55
"Bahrain",15,3.1,9.68,13.6
"United Arab Emirates",2.4,1.3,10.92,13.58
"Anguilla",8,3.1,3.4,12.43
"Turks and Caicos Islands",10,2.5,10.97,12.23
"Cyprus",17.4,0.2,8.54,9.89
"Aruba",6.9,2,11.74,9.04
"San Marino",7,2.8,4.52,8.31
"Luxembourg",4.9,1.8,4.28,7.97
"Norway",3.6,1.9,2.48,7.96
"Spain",26.3,1.8,3.33,7.24
"Isle of Man",2,5,4.17,6.84
"Sint Maarten",12,4,9.05,6.63
"Djibouti",59,2.5,50.2,6.06
"Australia",5.7,2.4,4.43,5.74
"Canada",7.1,1,4.71,5.66
"Sweden",8.1,0,2.6,5.46
"Switzerland",3.2,0.4,3.73,5.43
"Liechtenstein",2.3,0.7,4.33,4.72
"Botswana",17.8,6.1,9.38,4.62
"Italy",12.4,1.2,3.31,4.29
"Jersey",1.7,3.7,3.86,4.08
"New Caledonia",17.1,1.7,5.46,4.06
"Macau",1.8,5.5,3.13,3.4
"Ireland",13.5,0.6,3.74,3.31
"Monaco",2,1.5,1.81,2.85
"Portugal",16.8,0.4,4.48,2.74
"Yemen",35,11.8,50.41,2.61
"United Kingdom",7.2,2,4.44,2.56
"Brunei",2.6,1,10.48,2.47
"United States",7.3,1.5,6.17,2.45
"Guernsey",0.9,3.4,3.47,2.4
"Greece",27.9,0.8,4.78,2.32
"Denmark",6,0.8,4.1,2.25
"Antigua and Barbuda",11,3,13.29,2.23
"New Zealand",6.4,1.3,4.59,2.23
"Czech Republic",7.1,1.4,2.63,2.15
"Malta",6.4,1,3.59,1.99
"Netherlands",8.3,2.5,3.66,1.97
"Bermuda",8,1.8,2.48,1.92
"Austria",4.9,2.1,4.16,1.76
"Hong Kong",3.1,4.4,2.73,1.69
"Russia",5.8,6.8,7.08,1.69
"Israel",5.8,1.7,3.98,1.68
"Croatia",21.6,2.2,5.87,1.43
"Hungary",10.5,1.9,5.09,1.34
"Belgium",8.8,1.3,4.18,1.22
"Saint Kitts and Nevis",4.5,2.2,8.98,1.22
"France",10.2,0.9,3.31,1.09
"Germany",5.3,1.6,3.46,1.06
"Seychelles",2,4.3,10.77,1
"Taiwan",4.1,1.1,4.49,0.9
"Costa Rica",7.9,5.6,8.7,0.84
"Belarus",1,19,3.64,0.78
"Palau",4.2,2.7,11.46,0.66
"Finland",8.1,2.2,3.36,0.62
"Suriname",9,4.2,27.07,0.57
"Iceland",4.5,3.9,3.15,0.52
"Turkey",9.3,7.6,21.43,0.46
"Kazakhstan",5.3,5.8,21.61,0.42
"Slovenia",13.1,1.8,4.04,0.37
"Chile",6,1.7,7.02,0.35
"Namibia",27.4,5.5,45.64,0.05
"Slovakia",14.4,1.7,5.35,0.01
"Saint Helena, Ascension, and Tristan da Cunha",14,4,14.71,0
"Serbia",20.1,2.2,6.16,0
"Swaziland",40,6.1,54.82,0
"Thailand",0.7,2.2,9.86,0
"Venezuela",7.9,56.2,19.33,0
"West Bank",22.5,1.7,13.49,0
"Korea, South",3.2,1.1,3.93,0
"Liberia",85,5.2,69.19,0
"Mauritius",8.3,3.5,10.59,0
"Montserrat",6,4.5,13.66,0
"Papua New Guinea",1.9,3.8,39.67,0
"Iraq",16,2,37.53,0
"Japan",4.1,0.2,2.13,0
"Andorra",4,1.1,3.69,0
"Argentina",7.5,20.8,9.96,0
"Azerbaijan",6,2.4,26.67,0
"Bahamas, The",16.2,1,12.5,0
"Belize",15.5,1.3,20.31,0
"Bhutan",2.1,11,37.89,0
"Burkina Faso",77,2.1,76.8,0
"Central African Republic",8,7,92.86,0
"Equatorial Guinea",22.3,6,71.12,0
"Faroe Islands",6.8,2.3,5.71,0
"Gaza Strip",22.5,1.7,15.46,0
"Bangladesh",5,7.6,45.67,0.02
"India",8.8,9.6,43.19,0.05
"Ukraine",8,0.7,8.1,0.06
"Paraguay",6.6,2.3,20.75,0.08
"Iran",16,42.3,39,0.08
"Ecuador",4.2,2.6,17.93,0.13
"Brazil",5.7,6.2,19.21,0.15
"Cameroon",30,2.6,55.1,0.15
"Egypt",13.4,9,22.41,0.19
"Nigeria",23.9,8.7,74.09,0.22
"Kenya",40,5.8,40.71,0.22
"Ethiopia",17.5,8.4,55.77,0.23
"Romania",7.3,3.2,10.16,0.24
"Burma",5.2,5.7,44.91,0.3
"Barbados",11.4,2.1,10.93,0.3
"Panama",4.5,4.1,10.7,0.32
"Cambodia",0,3.2,51.36,0.32
"China",4.1,2.6,14.79,0.32
"Vietnam",1.3,6.8,18.99,0.32
"Malaysia",3.1,2.2,13.69,0.34
"Bosnia and Herzegovina",44.3,0.2,5.84,0.38
"Oman",15,1.6,14,0.45
"Poland",10.3,1,6.19,0.47
"Macedonia",28.6,2.8,7.9,0.48
"Saudi Arabia",10.5,3.7,14.58,0.59
"Cabo Verde",21,1.9,24.28,0.64
"Colombia",9.7,2.2,15.02,0.65
"Bolivia",7.4,6.5,38.61,0.69
"Zambia",15,7.1,66.62,0.72
"Lithuania",12.4,1.2,6,0.73
"Mongolia",9,8.2,23.15,0.85
"Mauritania",30,4.6,56.06,0.85
"French Polynesia",11.7,1.1,4.78,0.87
"Algeria",10.3,3.9,21.76,0.93
"Uruguay",6.5,8.3,8.97,1.08
"Laos",1.9,6.5,54.53,1.1
"Kuwait",3.4,2.8,7.51,1.11
"Tajikistan",2.5,3.7,35.03,1.17
